City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
195,Vanimo,PG,-2.6741,141.3028,86.23,66,39,5.28,scattered clouds
196,Saint-Philippe,RE,-21.3585,55.7679,78.8,83,90,3.44,light rain
197,Hay River,CA,60.8156,-115.7999,30.2,80,100,8.05,overcast clouds
198,Ntoum,GA,0.3833,9.7833,80.6,89,75,8.05,light rain
199,Flinders,AU,-34.5833,150.8552,86.0,59,100,4.0,overcast clouds
200,Novyy Urengoy,RU,66.0833,76.6333,-4.79,91,100,12.71,overcast clouds
201,Antalaha,MG,-14.9003,50.2788,73.44,89,3,4.38,clear sky
202,Comodoro Rivadavia,AR,-45.8667,-67.5,62.6,27,0,21.85,clear sky
203,Tateyama,JP,34.9833,139.8667,43.0,57,76,8.01,broken clouds
204,Thinadhoo,MV,0.5333,72.9333,81.07,78,94,16.67,overcast clouds
205,Nizwa,OM,22.9333,57.5333,46.6,58,0,0.98,clear sky
206,Rio Gallegos,AR,-51.6226,-69.2181,53.6,35,40,32.21,scattered clouds
207,Necochea,AR,-38.5473,-58.7368,60.01,52,0,10.78,clear sky
208,Georgetown,MY,5.4112,100.3354,80.6,78,20,4.61,few clouds
209,Xinzhi,CN,36.4989,111.7047,32.36,55,0,0.4,clear sky
210,Porbandar,IN,21.6422,69.6093,65.14,46,0,13.78,clear sky
211,Ericeira,PT,38.9627,-9.4156,44.01,76,0,7.0,clear sky
212,Sakakah,SA,29.9697,40.2064,46.4,71,0,1.25,clear sky
213,Henderson,US,36.0397,-114.9819,50.0,25,1,1.81,clear sky
214,Camargo,MX,27.6667,-105.1667,46.15,53,0,9.78,clear sky
215,Shahreza,IR,32.0339,51.8794,32.79,65,0,0.51,clear sky
216,Dingle,PH,10.9995,122.6711,78.28,83,100,18.61,light rain
217,Tambopata,PE,-12.7333,-69.1833,76.24,90,97,2.62,light rain
218,Shingu,JP,33.7333,135.9833,39.2,93,75,4.61,light rain
219,Port Hedland,AU,-20.3167,118.5667,95.0,59,1,13.8,clear sky
220,Victoria,HK,22.2855,114.1577,53.01,27,0,1.01,clear sky
221,Tarauaca,BR,-8.1614,-70.7656,74.12,92,55,1.95,broken clouds
222,Dongsheng,CN,39.8161,109.9776,16.2,70,0,16.04,clear sky
223,Nahrin,AF,36.0649,69.1334,38.05,44,0,3.42,clear sky
224,Astana,KZ,51.1801,71.446,19.4,73,40,17.9,light snow
225,Presque Isle,US,46.6811,-68.0159,25.0,86,90,3.53,light snow
226,Vitim,RU,59.4511,112.5578,-17.72,86,99,1.61,overcast clouds
227,Bunia,CD,1.5667,30.25,67.69,64,99,3.24,overcast clouds
228,Namangan,UZ,40.9983,71.6726,26.6,54,0,6.91,clear sky
229,Sausar,IN,21.65,78.7833,68.0,83,20,3.44,mist
230,Saskylakh,RU,71.9167,114.0833,-23.35,85,100,7.18,overcast clouds
231,Elesbao Veloso,BR,-6.2019,-42.1403,73.78,90,100,1.68,overcast clouds
232,Kualakapuas,ID,-3.0091,114.3876,77.0,94,20,2.3,moderate rain
233,Saint Anthony,US,45.0205,-93.218,30.2,80,1,3.44,clear sky
234,Cairns,AU,-16.9167,145.7667,89.6,62,40,10.36,scattered clouds
235,Malpe,IN,13.35,74.7167,75.2,83,40,4.61,mist
236,Konstantinovka,RU,49.6167,127.9833,-5.76,90,99,1.79,overcast clouds
