City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
182,Kupang,ID,2021-01-12 15:18:32,-10.1667,123.5833,81.0,84,81,4.03
183,Saint-Philippe,RE,2021-01-12 15:18:32,-21.3585,55.7679,78.8,83,75,4.61
184,Dobrinka,RU,2021-01-12 15:18:33,52.1653,40.4731,7.12,95,0,2.1
185,Price,US,2021-01-12 15:14:05,39.5994,-110.8107,10.4,72,1,1.45
186,Cherskiy,RU,2021-01-12 15:18:33,68.75,161.3,-32.71,82,27,2.89
187,Cidreira,BR,2021-01-12 15:15:40,-30.1811,-50.2056,80.37,73,98,9.51
188,Stuttgart,DE,2021-01-12 15:16:26,48.7823,9.177,36.0,87,75,12.66
189,Grand Bend,CA,2021-01-12 15:18:33,43.3168,-81.7498,28.0,91,100,4.0
190,Lieksa,FI,2021-01-12 15:18:34,63.3167,30.0167,5.25,93,69,18.07
191,Plettenberg Bay,ZA,2021-01-12 15:18:34,-34.0527,23.3716,70.86,89,87,19.62
192,Cabo San Lucas,MX,2021-01-12 15:14:16,22.8909,-109.9124,57.2,71,40,8.05
193,Maralal,KE,2021-01-12 15:18:34,1.0968,36.698,66.15,62,86,10.87
194,Arraial Do Cabo,BR,2021-01-12 15:18:34,-22.9661,-42.0278,87.8,55,0,20.71
195,Isangel,VU,2021-01-12 15:18:34,-19.55,169.2667,80.47,79,100,5.3
196,Koumac,NC,2021-01-12 15:18:35,-20.5667,164.2833,80.58,83,76,3.56
197,Los Llanos De Aridane,ES,2021-01-12 15:18:35,28.6585,-17.9182,64.4,63,75,11.5
198,Avera,US,2021-01-12 15:18:35,33.194,-82.5271,44.6,86,90,6.91
199,Ancud,CL,2021-01-12 15:18:35,-41.8697,-73.8203,57.99,62,75,6.91
200,Harper,LR,2021-01-12 15:18:35,4.375,-7.7169,81.88,77,43,9.84
201,Kholtoson,RU,2021-01-12 15:18:36,50.2981,103.3097,-13.59,85,95,0.85
202,Camacupa,AO,2021-01-12 15:18:36,-12.0167,17.4833,73.74,80,8,0.78
203,Lebu,CL,2021-01-12 15:18:36,-37.6167,-73.65,59.2,44,0,20.71
204,Chapayeve,UA,2021-01-12 15:18:36,49.3662,35.8749,28.4,69,90,6.71
205,Kodiak,US,2021-01-12 15:18:36,57.79,-152.4072,35.6,87,90,14.97
206,Bonavista,CA,2021-01-12 15:18:37,48.6499,-53.1147,28.99,80,86,3.44
207,Ano Mera,GR,2021-01-12 15:18:37,37.45,25.4,66.0,63,40,16.11
208,Comodoro Rivadavia,AR,2021-01-12 15:18:37,-45.8667,-67.5,69.8,30,40,13.8
209,Sur,OM,2021-01-12 15:18:37,22.5667,59.5289,67.93,52,0,10.56
210,Nome,US,2021-01-12 15:18:37,64.5011,-165.4064,8.6,78,1,10.36
211,Westport,US,2021-01-12 15:18:37,41.1415,-73.3579,37.0,69,1,4.38
212,Cuyo,PH,2021-01-12 15:18:38,10.8525,121.0086,79.03,78,100,32.01
213,Broken Hill,AU,2021-01-12 15:18:38,-31.95,141.4333,82.4,26,0,10.36
214,Svetlogorsk,BY,2021-01-12 15:18:38,52.6333,29.7333,25.21,96,17,10.27
215,Qaanaaq,GL,2021-01-12 15:18:38,77.484,-69.3632,12.15,87,100,4.74
216,Gamba,GA,2021-01-12 15:18:38,-2.65,10.0,81.3,78,100,11.34
217,Chuy,UY,2021-01-12 15:18:38,-33.6971,-53.4616,71.74,48,97,12.28
218,Mandurah,AU,2021-01-12 15:18:38,-32.55,115.7,68.0,62,0,7.0
219,Tiznit,MA,2021-01-12 15:18:25,29.5833,-9.5,59.32,34,0,5.93
220,Huarmey,PE,2021-01-12 15:18:39,-10.0681,-78.1522,74.23,72,10,8.41
221,Rodrigues Alves,BR,2021-01-12 15:18:39,-7.738,-72.6509,89.6,62,20,6.91
222,Leh,IN,2021-01-12 15:18:39,34.1667,77.5833,5.52,40,0,2.13
223,Kavaratti,IN,2021-01-12 15:18:39,10.5669,72.642,82.98,72,100,8.55
224,Bambous Virieux,MU,2021-01-12 15:18:40,-20.3428,57.7575,80.6,89,40,17.27
225,Manavalakurichi,IN,2021-01-12 15:18:40,8.1333,77.3,78.8,94,75,2.3
226,Acarau,BR,2021-01-12 15:18:40,-2.8856,-40.12,85.41,60,82,12.53
227,Te Anau,NZ,2021-01-12 15:18:40,-45.4167,167.7167,50.65,90,19,1.54
228,Palana,RU,2021-01-12 15:18:40,59.1167,159.9667,1.44,96,91,2.98
229,Kuchinarai,TH,2021-01-12 15:18:40,16.541,104.05,59.0,55,0,5.75
230,Mnogovershinnyy,RU,2021-01-12 15:18:40,53.9353,139.9242,-21.68,79,0,3.09
231,Mogadishu,SO,2021-01-12 15:18:41,2.0371,45.3438,78.26,70,0,23.71
232,Hjelset,NO,2021-01-12 15:18:41,62.7833,7.4833,33.8,80,75,10.36
233,Kiama,AU,2021-01-12 15:18:41,-34.6833,150.8667,70.0,91,11,1.99
234,Lujan,AR,2021-01-12 15:18:41,-34.5703,-59.105,75.0,29,58,3.0
235,Esperance,AU,2021-01-12 15:18:41,-33.8667,121.9,62.6,77,40,11.5
236,Amahai,ID,2021-01-12 15:18:41,-3.3333,128.9167,84.0,88,96,2.68
237,Balkhash,KZ,2021-01-12 15:18:42,46.844,74.9804,21.2,93,75,22.37
238,Radovan,RO,2021-01-12 15:18:42,44.1667,23.6167,35.01,94,100,5.32
239,Ugoofaaru,MV,2021-01-12 15:18:42,5.6667,73.0,79.9,79,100,18.14
240,Quatre Cocos,MU,2021-01-12 15:18:42,-20.2078,57.7625,80.6,89,40,17.27
241,Barabai,ID,2021-01-12 15:18:42,-2.5833,115.3833,76.55,88,78,2.75
242,Luba,GQ,2021-01-12 15:18:42,3.4568,8.5547,86.0,74,40,9.22
243,Dunedin,NZ,2021-01-12 15:18:43,-45.8742,170.5036,57.99,91,11,1.99
244,Raudeberg,NO,2021-01-12 15:18:43,61.9875,5.1352,36.0,87,100,33.2
245,Touros,BR,2021-01-12 15:18:43,-5.1989,-35.4608,75.2,94,75,6.91
246,Casablanca,MA,2021-01-12 15:14:29,33.5928,-7.6192,59.0,47,0,10.36
247,Jiangyou,CN,2021-01-12 15:18:43,31.7667,104.7167,36.99,70,0,2.21
248,Laguna,US,2021-01-12 15:14:07,38.421,-121.4238,45.0,87,1,1.28
