City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description
157,Price,39.5994,-110.8107,19.4,63,1,1.01,US,clear sky
158,Saint-Philippe,-21.3585,55.7679,78.8,83,90,5.75,RE,light rain
159,Atasu,48.6814,71.6433,19.65,90,61,21.56,KZ,broken clouds
160,Tuatapere,-46.1333,167.6833,71.8,42,25,3.47,NZ,scattered clouds
161,Aykhal,66.0,111.5,-27.83,80,100,5.17,RU,overcast clouds
162,Tasiilaq,65.6145,-37.6368,19.4,58,90,6.17,GL,overcast clouds
163,Chalus,36.655,51.4204,50.0,87,75,4.61,IR,broken clouds
164,Masasi,-10.7167,38.8,70.11,99,81,6.69,TZ,light rain
165,Vila Franca Do Campo,37.7167,-25.4333,59.0,100,90,5.75,PT,fog
166,Pavia,45.1845,9.1615,30.99,88,0,3.78,IT,clear sky
167,Aksarka,66.5606,67.7975,-9.26,74,40,4.52,RU,scattered clouds
168,Alvorada,-12.48,-49.1247,77.59,78,88,1.48,BR,light rain
169,Tateyama,34.9833,139.8667,42.01,47,54,5.01,JP,broken clouds
170,Coihaique,-45.5752,-72.0662,51.8,50,40,3.44,CL,scattered clouds
171,Barrow,71.2906,-156.7887,1.4,85,90,23.02,US,haze
172,Tautira,-17.7333,-149.15,86.0,65,75,11.5,PF,light rain
173,Darapidap,17.2131,120.4114,74.05,61,73,12.28,PH,broken clouds
174,Ryotsu,38.0833,138.4333,33.8,80,75,6.91,JP,broken clouds
175,Tubuala,9.5167,-79.0333,81.0,89,40,5.75,PA,scattered clouds
176,Oktyabrskoye,43.0645,44.7417,32.0,100,58,4.47,RU,snow
177,Cabo San Lucas,22.8909,-109.9124,69.8,52,1,11.5,MX,clear sky
178,Chapleau,47.8405,-83.4034,24.8,93,90,9.22,CA,overcast clouds
179,Vestmanna,62.1564,-7.1664,37.4,81,75,25.32,FO,broken clouds
180,Mahebourg,-20.4081,57.7,78.8,94,40,13.8,MU,moderate rain
181,Gao,16.6362,1.637,72.82,19,0,8.68,ML,clear sky
182,Hermiston,45.8404,-119.2895,43.0,93,75,8.05,US,mist
183,Sao Filipe,14.8961,-24.4956,69.6,73,1,14.56,CV,clear sky
184,Kuito,-12.3833,16.9333,56.14,81,100,5.39,AO,overcast clouds
185,Florence,43.7667,11.25,37.99,56,0,4.61,IT,clear sky
186,Terrasini,38.146,13.0844,51.8,71,40,6.91,IT,scattered clouds
187,Swakopmund,-22.6833,14.5333,68.0,77,100,6.91,NA,overcast clouds
188,Cherskiy,68.75,161.3,-35.95,80,0,0.54,RU,clear sky
189,San Patricio,28.017,-97.5169,43.0,75,20,5.75,US,few clouds
190,Beringovskiy,63.05,179.3167,-20.94,81,79,12.8,RU,broken clouds
191,Dingle,10.9995,122.6711,75.7,88,97,15.1,PH,light rain
192,Baykit,61.67,96.37,-21.15,82,100,1.92,RU,overcast clouds
193,Bismil,37.8486,40.6658,35.6,93,0,2.3,TR,clear sky
194,Wanning,18.8003,110.3967,54.14,62,2,17.05,CN,clear sky
195,Chapais,49.7834,-74.8492,17.6,93,90,8.05,CA,light snow
196,Berlevag,70.8578,29.0864,16.68,95,45,25.34,NO,scattered clouds
197,Nantucket,41.2835,-70.0995,39.2,75,90,11.5,US,overcast clouds
198,Mahajanga,-15.7167,46.3167,77.0,94,20,4.61,MG,moderate rain
199,Cabedelo,-6.9811,-34.8339,78.8,83,20,9.89,BR,few clouds
200,Cayenne,4.9333,-52.3333,77.0,94,75,8.05,GF,broken clouds
201,Ponta Delgada,37.7333,-25.6667,59.0,100,90,5.75,PT,light intensity drizzle
202,Puerto Ayora,-0.7393,-90.3518,73.99,92,7,6.29,EC,clear sky
203,Kavieng,-2.5744,150.7967,84.96,70,100,9.1,PG,overcast clouds
204,Avarua,-21.2078,-159.775,84.2,74,75,14.97,CK,broken clouds
205,Carrefour,18.5411,-72.3992,78.8,69,100,8.05,HT,overcast clouds
206,San Ramon,37.7799,-121.978,57.2,58,1,9.22,US,clear sky
207,Vao,-22.6667,167.4833,78.19,84,82,18.77,NC,broken clouds
208,Esperance,-33.8667,121.9,64.4,52,100,11.5,AU,overcast clouds
209,Ostrovnoy,68.0531,39.5131,4.01,91,1,16.53,RU,clear sky
210,Taoudenni,22.6783,-3.9836,58.84,33,100,11.59,ML,overcast clouds
211,Saint-Francois,46.4154,3.9054,28.99,86,90,5.75,FR,light snow
212,Ferrol,43.4832,-8.2369,41.0,100,0,4.61,ES,clear sky
213,Hailar,49.2,119.7,-4.22,92,100,6.62,CN,overcast clouds
214,Taltal,-25.4,-70.4833,65.79,71,78,4.76,CL,broken clouds
215,Matara,5.9485,80.5353,75.58,89,53,3.91,LK,broken clouds
216,Sindor,62.8629,51.8905,-12.71,87,17,4.27,RU,few clouds
217,San Andres,12.5847,-81.7006,82.4,78,75,13.8,CO,broken clouds
218,Lompoc,34.6391,-120.4579,57.0,87,1,8.05,US,clear sky
219,Arraial Do Cabo,-22.9661,-42.0278,77.0,88,20,17.27,BR,few clouds
220,Cravo Norte,6.3017,-70.2041,76.3,79,89,5.79,CO,overcast clouds
221,Koeru,58.9631,26.0308,24.22,98,100,11.56,EE,overcast clouds
222,Ekimchan,53.0667,132.9667,-24.56,79,0,2.51,RU,clear sky
223,Le Port,-20.9373,55.2919,78.8,94,75,14.97,RE,light rain
224,Ambon,-3.6954,128.1814,84.2,74,40,4.61,ID,scattered clouds
225,Ketchikan,55.3422,-131.6461,41.0,93,90,26.46,US,moderate rain
226,Tokmak,47.2514,35.7058,26.83,95,0,6.62,UA,clear sky
227,Lom Sak,16.7798,101.2422,57.2,62,20,3.44,TH,few clouds
228,Chuy,-33.6971,-53.4616,71.15,96,100,6.24,UY,moderate rain
229,Upernavik,72.7868,-56.1549,22.39,95,98,22.03,GL,overcast clouds
230,Casablanca,33.5928,-7.6192,51.01,100,20,4.61,MA,few clouds
231,Yellowknife,62.456,-114.3525,12.2,85,75,10.36,CA,light snow
232,Oktyabrskiy,54.4815,53.471,-7.42,90,100,4.05,RU,overcast clouds
233,Colonelganj,27.1333,81.7,46.06,69,0,6.69,IN,clear sky
234,Potosi,-19.5836,-65.7531,44.06,84,100,5.35,BO,light rain
235,Ayan,56.45,138.1667,-22.49,71,0,6.73,RU,clear sky
236,Corinto,37.9407,22.9573,64.99,82,20,4.41,GR,few clouds
237,Praya,14.9215,-23.5087,69.8,68,75,18.41,CV,broken clouds
238,Viedma,-40.8135,-62.9967,59.65,32,0,5.59,AR,clear sky
239,Cascais,38.6979,-9.4215,45.0,60,0,7.27,PT,clear sky
240,Csenger,47.8358,22.681,34.0,93,75,4.61,HU,light snow
241,Kruisfontein,-34.0033,24.7314,66.99,94,100,3.0,ZA,light rain
242,Bilma,18.6853,12.9164,63.75,27,0,3.87,NE,clear sky
243,Nanortalik,60.1432,-45.2371,31.19,93,100,4.23,GL,overcast clouds
